1	1437																																																																																																																																																																																																																																																																																							
2	175	2772																																																																																																																																																																																																																																																																																						
3	175	1043	1114	2772	2817	3591	4763																																																																																																																																																																																																																																																																																	
4	175	2772																																																																																																																																																																																																																																																																																						
5	207	216	1449																																																																																																																																																																																																																																																																																					
6	1449																																																																																																																																																																																																																																																																																							
7	142	380	1230																																																																																																																																																																																																																																																																																					
8	4458	4663																																																																																																																																																																																																																																																																																						
9	296																																																																																																																																																																																																																																																																																							
10	468	939	1765	3010	3255	3471	3822	4735																																																																																																																																																																																																																																																																																
11	291	2872	3578																																																																																																																																																																																																																																																																																					
12	1747	3614																																																																																																																																																																																																																																																																																						
13	69	476	956	2176	3390	3416	3427	3905	3952	3963	4455	4503	4511	4899	4942																																																																																																																																																																																																																																																																									
14	68	215	350	473	636	871	882	902	1246	1297	1409	1760	1854	2136	2215	2241	2579	3422	3537	3868	4006	4761	4874	4924	5092																																																																																																																																																																																																																																																															
15	622	968	2117	2625	3390	3422																																																																																																																																																																																																																																																																																		
16	1529	2536	3797	4895																																																																																																																																																																																																																																																																																				
17	98	747	980	1078	1383	1809	2255	2466	3990	4256	4482	4594																																																																																																																																																																																																																																																																												
18	231	2747	3715	3878	4825																																																																																																																																																																																																																																																																																			
19	1648	4173																																																																																																																																																																																																																																																																																						
20	1431	2338																																																																																																																																																																																																																																																																																						
21	204	300	468	507	616	640	971	1270	1294	1520	1522	2058	2536	2556	2707	2729	2737	3593	3643	3681	3751	3807	3929	5020																																																																																																																																																																																																																																																																
22	29	709	751	1197	1567	1581	1754	1947	2057	2191	2237	2255	2500	3286	3614	3722	3854	4003	4207	4338	4385	4828																																																																																																																																																																																																																																																																		
23	475	880	955	1358	1431	1592	1688	2832	3347	3799	4282	5060																																																																																																																																																																																																																																																																												
24	215	448	473	606	1075	2136	2219	3100	3156	3352	3634																																																																																																																																																																																																																																																																													
25	165	258	329	694	2584	4282																																																																																																																																																																																																																																																																																		
26	175	204	247	300	468	476	580	735	939	953	955	1167	1373	1512	1520	1522	1636	1744	1757	1880	1886	1922	1941	1969	2588	2772	3019	3088	3277	3348	3593	3807	3920	3952	3957	4141	4225	4393	4733	4989																																																																																																																																																																																																																																																
27	328	1207	1706	2241	2769																																																																																																																																																																																																																																																																																			
28	77																																																																																																																																																																																																																																																																																							
29	329	2139	2255	2458	22																																																																																																																																																																																																																																																																																			
30	2706	4377	4593																																																																																																																																																																																																																																																																																					
31	53	755	4823																																																																																																																																																																																																																																																																																					
32	361	472	942	1118	1217	3164	3601	4312	4718																																																																																																																																																																																																																																																																															
33	137	329	795	3325																																																																																																																																																																																																																																																																																				
34	255	281	303	882	1409	1522	1685	1757	2133	2910	3338	3745	3782	3886	4312	4527																																																																																																																																																																																																																																																																								
35	1188	1814																																																																																																																																																																																																																																																																																						
36	329	475	1431																																																																																																																																																																																																																																																																																					
37	201	769	1102	1146	1695	1702	2054	2650	2883	2945	3107	3226	3419	3425	3491	3565	3806	3866	4055	4401	4827	4876																																																																																																																																																																																																																																																																		
38	335	2767																																																																																																																																																																																																																																																																																						
39	363	1409	2050	4249	4312																																																																																																																																																																																																																																																																																			
40	615	1739	1909	2747	2888																																																																																																																																																																																																																																																																																			
41	258	603	1206	1344	1437	1704	1894	2322	2451	3273	3331	3495	3720	3886	3924	4475	4672	4966																																																																																																																																																																																																																																																																						
42	291	468	541	646	701	924	1522	1950	2030	2137	2373	2588	2594	2928	3643	3799	4197	4749																																																																																																																																																																																																																																																																						
43	4153	4562																																																																																																																																																																																																																																																																																						
44	329	1695	2495	2609	2781	3094	3279	3348	3952	4055	4594	4713																																																																																																																																																																																																																																																																												
